Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,272.81,274.08,272.28,273.08,272.34,22139600
29 Dec 2025,272.69,274.36,272.35,273.76,273.02,23715200
26 Dec 2025,274.16,275.37,272.86,273.40,272.66,21521800
24 Dec 2025,272.34,275.43,272.20,273.81,273.07,17910600
23 Dec 2025,270.84,272.50,269.56,272.36,271.62,29642000
22 Dec 2025,272.86,273.88,270.51,270.97,270.23,36571800
19 Dec 2025,272.15,274.60,269.90,273.67,272.93,144632000
18 Dec 2025,273.61,273.63,266.95,272.19,271.45,51630700
17 Dec 2025,275.01,276.16,271.64,271.84,271.10,50138700
16 Dec 2025,272.82,275.50,271.79,274.61,273.86,37648600
15 Dec 2025,280.15,280.15,272.84,274.11,273.37,50409100
12 Dec 2025,277.90,279.22,276.82,278.28,277.52,39532900
11 Dec 2025,279.10,279.59,273.81,278.03,277.28,33248000
10 Dec 2025,277.75,279.75,276.44,278.78,278.02,33038300
09 Dec 2025,278.16,280.03,276.92,277.18,276.43,32193300
08 Dec 2025,278.13,279.67,276.15,277.89,277.14,38211800
05 Dec 2025,280.54,281.14,278.05,278.78,278.02,47265800
04 Dec 2025,284.10,284.73,278.59,280.70,279.94,43989100
03 Dec 2025,286.20,288.62,283.30,284.15,283.38,43538700
02 Dec 2025,283.00,287.40,282.63,286.19,285.41,53669500
01 Dec 2025,278.01,283.42,276.14,283.10,282.33,46587700
28 Nov 2025,277.26,279.00,275.99,278.85,278.09,20135600
26 Nov 2025,276.96,279.53,276.63,277.55,276.80,33431400
25 Nov 2025,275.27,280.38,275.25,276.97,276.22,46914200
24 Nov 2025,270.90,277.00,270.90,275.92,275.17,65585800
21 Nov 2025,265.95,273.33,265.67,271.49,270.75,59030800
20 Nov 2025,270.83,275.43,265.92,266.25,265.53,45823600
19 Nov 2025,265.53,272.21,265.50,268.56,267.83,40424500
18 Nov 2025,269.99,270.71,265.32,267.44,266.71,45677300
17 Nov 2025,268.82,270.49,265.73,267.46,266.73,45018300
14 Nov 2025,271.05,275.96,269.60,272.41,271.67,47431300
13 Nov 2025,274.11,276.70,272.09,272.95,272.21,49602800
12 Nov 2025,275.00,275.73,271.70,273.47,272.73,48398000
11 Nov 2025,269.81,275.91,269.80,275.25,274.50,46208300
10 Nov 2025,268.96,273.73,267.46,269.43,268.70,41312400
07 Nov 2025,269.80,272.29,266.77,268.47,267.48,48227400
06 Nov 2025,267.89,273.40,267.89,269.77,268.78,51204000
05 Nov 2025,268.61,271.70,266.93,270.14,269.15,43683100
04 Nov 2025,268.33,271.49,267.62,270.04,269.05,49274800
