Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,44.80,45.39,44.70,45.10,44.26,4171339
29 Dec 2025,45.90,46.03,45.45,45.45,44.60,4680346
24 Dec 2025,45.78,45.78,45.50,45.62,44.77,2112731
23 Dec 2025,45.60,45.71,45.30,45.58,44.73,4534942
22 Dec 2025,44.85,45.17,44.72,45.07,44.23,5527196
19 Dec 2025,44.55,44.84,44.13,44.36,43.53,23705950
18 Dec 2025,44.40,44.88,44.38,44.88,44.04,9640423
17 Dec 2025,44.16,44.44,43.96,44.41,43.58,7866827
16 Dec 2025,44.30,44.60,44.06,44.24,43.41,9553809
15 Dec 2025,45.01,45.14,44.06,44.27,43.44,8496021
12 Dec 2025,45.68,45.98,45.45,45.59,44.74,7547616
11 Dec 2025,45.31,45.49,44.80,45.10,44.26,7930105
10 Dec 2025,44.39,44.81,44.13,44.54,43.71,6608310
09 Dec 2025,44.15,44.79,44.10,44.30,43.47,7148967
08 Dec 2025,44.82,44.84,44.35,44.47,43.64,5324347
05 Dec 2025,44.55,44.84,44.36,44.84,44.00,9843381
04 Dec 2025,43.85,44.60,43.75,44.50,43.67,11656068
03 Dec 2025,42.84,43.04,42.56,42.96,42.16,7357811
02 Dec 2025,42.90,42.90,42.39,42.56,41.77,7321330
01 Dec 2025,41.99,42.30,41.81,42.08,41.30,6152730
28 Nov 2025,41.35,41.76,41.29,41.67,40.89,8041166
27 Nov 2025,41.73,41.95,41.56,41.74,40.96,4450872
26 Nov 2025,41.62,41.84,41.49,41.82,41.04,7359870
25 Nov 2025,40.93,41.03,40.62,41.01,40.25,8020389
24 Nov 2025,40.78,40.89,40.17,40.62,39.86,14778037
21 Nov 2025,40.50,40.75,40.21,40.37,39.62,10232751
20 Nov 2025,41.10,41.80,41.03,41.72,40.94,8072596
19 Nov 2025,41.40,41.46,40.95,40.95,40.19,7407413
18 Nov 2025,42.00,42.11,40.80,40.90,40.14,12252545
17 Nov 2025,42.13,42.56,42.01,42.48,41.69,5526619
14 Nov 2025,42.77,42.90,42.37,42.75,41.95,6262461
13 Nov 2025,43.33,43.45,42.83,43.33,42.52,7686716
12 Nov 2025,42.85,43.29,42.77,43.06,42.26,5169069
11 Nov 2025,43.00,43.00,42.57,42.79,41.99,5884672
10 Nov 2025,42.62,42.79,42.47,42.65,41.85,5094784
07 Nov 2025,42.88,42.94,42.43,42.65,41.85,6125961
06 Nov 2025,42.86,43.33,42.66,43.00,42.20,6475644
05 Nov 2025,42.35,42.45,41.91,42.34,41.55,7637826
04 Nov 2025,43.00,43.12,42.51,42.54,41.75,6834944
03 Nov 2025,43.45,43.65,43.07,43.37,42.56,5473353
31 Oct 2025,43.60,44.09,43.45,43.45,42.64,7562306
30 Oct 2025,44.28,44.55,43.81,43.88,43.06,7203994
29 Oct 2025,43.42,43.93,43.35,43.89,43.07,6122873
28 Oct 2025,43.35,43.68,42.95,43.34,42.53,8925277
27 Oct 2025,43.05,43.63,42.95,43.54,42.73,6414129
24 Oct 2025,42.75,43.24,42.67,43.24,42.43,7404860
23 Oct 2025,42.75,43.01,42.29,43.01,42.21,7054913
22 Oct 2025,43.40,43.68,43.11,43.51,42.70,7313867
21 Oct 2025,43.80,44.33,43.73,44.13,43.31,9494518
20 Oct 2025,42.85,43.14,42.79,43.14,42.34,8239848
17 Oct 2025,43.56,43.64,43.21,43.60,42.79,10756381
16 Oct 2025,43.48,43.84,43.34,43.77,42.95,10243494
15 Oct 2025,43.23,43.54,42.93,43.54,42.73,9777081
14 Oct 2025,42.56,43.12,42.43,42.79,41.99,9509568
13 Oct 2025,41.86,42.07,41.52,41.89,41.11,8378334
10 Oct 2025,42.88,42.90,42.16,42.22,41.43,10040660
09 Oct 2025,42.61,43.11,42.49,43.11,42.31,14134217
08 Oct 2025,41.95,42.12,41.82,41.89,41.11,6737624
07 Oct 2025,41.90,42.31,41.87,41.96,41.18,6151818
06 Oct 2025,42.00,42.16,41.80,41.90,41.12,5399935
03 Oct 2025,41.90,42.20,41.79,42.08,41.30,4996434
02 Oct 2025,41.90,42.33,41.84,41.94,41.16,7075579
01 Oct 2025,42.05,42.12,41.42,41.47,40.70,11041231
30 Sep 2025,42.75,42.94,42.53,42.53,41.74,12591714
29 Sep 2025,41.80,41.99,41.51,41.91,41.13,9744918
26 Sep 2025,42.38,42.67,42.08,42.22,41.43,10922787
25 Sep 2025,40.99,41.89,40.90,41.67,40.89,12092384
24 Sep 2025,40.45,40.47,40.00,40.24,39.49,7179771
23 Sep 2025,40.30,40.69,40.08,40.22,39.47,6219232
22 Sep 2025,39.65,40.34,39.57,40.03,39.28,7393512
19 Sep 2025,39.77,40.20,39.30,39.64,38.90,22847291
18 Sep 2025,40.00,40.19,39.88,39.97,39.22,7823281
17 Sep 2025,40.42,40.62,40.13,40.31,39.56,7379291
16 Sep 2025,40.92,41.14,40.77,40.77,40.01,7464437
15 Sep 2025,40.75,40.85,40.38,40.58,39.82,4485886
12 Sep 2025,40.62,40.89,40.46,40.81,40.05,5093254
11 Sep 2025,40.30,40.48,40.15,40.27,39.52,5904258
10 Sep 2025,40.32,40.56,40.18,40.46,39.71,7263768
09 Sep 2025,41.13,41.18,40.70,40.97,40.21,11339058
08 Sep 2025,41.63,41.79,41.31,41.37,40.60,7131110
05 Sep 2025,41.40,41.61,41.33,41.61,40.83,8268770
04 Sep 2025,41.75,42.11,41.66,41.98,41.20,8318138
03 Sep 2025,42.70,43.01,42.25,42.29,40.60,8236801
02 Sep 2025,42.60,43.19,42.60,42.85,41.14,6959643
01 Sep 2025,42.70,42.90,42.48,42.70,40.99,5679631
29 Aug 2025,43.10,43.32,42.80,43.19,41.46,11355266
28 Aug 2025,42.91,43.06,42.76,43.01,41.29,6259702
27 Aug 2025,42.70,43.22,42.59,43.22,41.49,5993473
26 Aug 2025,43.00,43.02,42.59,42.65,40.94,10597760
25 Aug 2025,42.90,43.34,42.82,43.14,41.42,9440006
22 Aug 2025,42.66,42.81,42.00,42.00,40.32,13494593
21 Aug 2025,41.90,42.12,41.68,42.06,40.38,9435127
20 Aug 2025,41.39,42.05,40.90,41.75,40.08,10296580
19 Aug 2025,41.60,42.25,41.34,42.12,40.44,10003525
18 Aug 2025,41.77,41.94,41.45,41.47,39.81,5271204
15 Aug 2025,41.55,41.96,41.39,41.96,40.28,6932247
14 Aug 2025,41.85,42.06,41.27,41.51,39.85,7815890
13 Aug 2025,41.42,41.95,41.41,41.73,40.06,8188549
12 Aug 2025,40.99,41.35,40.82,41.26,39.61,6893144
11 Aug 2025,40.70,40.98,40.65,40.87,39.24,4867453
08 Aug 2025,40.07,40.38,39.90,40.21,38.60,6130664
07 Aug 2025,39.98,40.03,39.68,39.87,38.28,5398124
06 Aug 2025,39.79,40.20,39.69,39.90,38.30,6271454
05 Aug 2025,39.81,40.11,39.74,39.80,38.21,4548811
04 Aug 2025,39.38,39.76,39.18,39.59,38.01,4916672
01 Aug 2025,39.45,39.69,39.22,39.22,37.65,7455836
31 Jul 2025,39.27,39.69,39.18,39.25,37.68,11994238
30 Jul 2025,40.25,40.57,40.20,40.22,38.61,5662040
29 Jul 2025,40.15,40.54,40.00,40.42,38.80,5510084
28 Jul 2025,40.57,40.71,40.20,40.30,38.69,6193873
25 Jul 2025,40.86,41.14,40.66,40.80,39.17,7481253
24 Jul 2025,41.99,42.07,41.46,41.60,39.94,8832638
23 Jul 2025,41.86,42.39,41.81,41.85,40.18,9875107
22 Jul 2025,40.89,41.69,40.77,41.51,39.85,11430702
21 Jul 2025,40.00,40.75,39.93,40.46,38.84,9694458
18 Jul 2025,39.82,40.40,39.67,40.29,38.68,14757261
17 Jul 2025,39.13,39.43,39.06,39.11,37.55,7380298
16 Jul 2025,38.77,39.13,38.66,39.11,37.55,6479966
15 Jul 2025,39.62,39.73,39.22,39.39,37.82,6061477
14 Jul 2025,39.59,39.99,39.51,39.73,38.14,6582664
11 Jul 2025,39.27,39.64,39.22,39.36,37.79,9460902
10 Jul 2025,37.88,38.36,37.74,38.30,36.77,4923915
09 Jul 2025,38.30,38.44,37.85,37.85,36.34,5880672
08 Jul 2025,37.77,38.27,37.56,38.24,36.71,8029159
07 Jul 2025,38.65,38.88,38.53,38.60,37.06,4267350
04 Jul 2025,38.60,38.99,38.45,38.73,37.18,7905428
03 Jul 2025,38.40,39.27,38.37,39.27,37.70,16531066
02 Jul 2025,37.00,37.35,36.76,37.20,35.71,9145015
01 Jul 2025,36.64,36.82,36.36,36.57,35.11,7856950
