Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,162.25,163.10,161.09,161.29,156.52,995378
29 Dec 2025,161.31,162.24,160.49,160.49,155.74,1091076
24 Dec 2025,161.33,161.50,160.33,161.39,156.62,653329
23 Dec 2025,158.55,161.80,158.55,161.73,156.95,1520620
22 Dec 2025,158.00,159.68,157.24,158.26,153.58,1396340
19 Dec 2025,155.97,157.75,155.52,157.75,153.08,5814764
18 Dec 2025,154.00,155.00,153.11,155.00,150.41,2309599
17 Dec 2025,152.94,154.78,152.76,153.86,149.31,1835147
16 Dec 2025,156.77,157.51,154.22,155.13,150.54,1721004
15 Dec 2025,154.10,155.43,154.00,155.08,150.49,1048391
12 Dec 2025,153.49,156.38,153.02,155.96,151.35,1728685
11 Dec 2025,153.20,154.00,152.63,152.74,148.22,2198502
10 Dec 2025,154.29,154.92,153.24,153.82,149.27,1296242
09 Dec 2025,155.30,155.30,153.50,154.53,149.96,1592640
08 Dec 2025,152.70,155.42,152.70,155.42,150.82,1410145
05 Dec 2025,151.65,154.54,151.60,154.21,149.65,1447667
04 Dec 2025,152.09,153.22,150.38,153.22,148.69,1787486
03 Dec 2025,151.90,153.38,151.84,152.05,147.55,1590886
02 Dec 2025,151.60,153.08,151.56,152.24,147.74,1674717
01 Dec 2025,152.20,153.27,151.53,151.64,147.15,1103917
28 Nov 2025,153.57,154.10,152.07,152.51,148.00,1783139
27 Nov 2025,153.04,155.40,153.00,154.24,149.68,938539
26 Nov 2025,154.50,154.93,153.14,153.52,148.98,1673387
25 Nov 2025,154.96,154.96,152.37,153.14,148.61,1690417
24 Nov 2025,153.50,156.00,153.49,154.96,150.38,5520380
21 Nov 2025,152.00,153.72,150.92,153.06,148.53,2856997
20 Nov 2025,151.80,153.89,151.63,153.00,148.47,2008837
19 Nov 2025,152.10,152.71,150.48,151.30,146.82,1878675
18 Nov 2025,154.00,154.00,152.16,153.22,148.69,2442731
17 Nov 2025,156.88,158.38,154.63,155.79,151.18,1715618
14 Nov 2025,157.78,158.08,155.91,157.30,152.65,2261514
13 Nov 2025,158.32,160.34,158.07,160.19,155.45,3300653
12 Nov 2025,163.50,164.12,158.38,158.38,153.69,4397031
11 Nov 2025,174.60,174.84,163.39,163.40,158.57,4465748
10 Nov 2025,175.90,176.03,174.88,174.92,169.75,1888039
07 Nov 2025,177.00,177.79,175.55,175.91,170.71,2471564
06 Nov 2025,177.30,179.15,176.73,178.57,173.29,2040104
05 Nov 2025,175.50,177.36,174.26,176.35,171.13,2254770
04 Nov 2025,174.00,175.37,172.42,174.11,168.96,1571243
03 Nov 2025,170.95,175.64,170.16,175.54,170.35,1974438
31 Oct 2025,171.91,173.74,171.17,171.64,166.56,2043532
30 Oct 2025,169.23,172.04,169.16,170.53,165.49,1330626
29 Oct 2025,174.04,174.80,169.88,170.40,165.36,1604192
28 Oct 2025,173.61,175.86,173.60,174.02,168.87,1815291
27 Oct 2025,171.34,172.80,170.87,171.67,166.59,1080850
24 Oct 2025,171.78,172.40,170.02,170.37,165.33,1358579
23 Oct 2025,172.80,173.35,170.22,171.66,166.58,1428388
22 Oct 2025,173.49,174.88,173.40,174.15,169.00,1801032
21 Oct 2025,173.00,174.36,171.87,173.56,168.43,2192193
20 Oct 2025,168.53,172.73,167.51,172.70,167.59,2145323
17 Oct 2025,167.50,168.96,167.25,168.32,163.34,2260083
16 Oct 2025,169.22,170.95,167.07,168.10,163.13,2206440
15 Oct 2025,166.32,167.70,165.51,166.78,161.85,1632380
14 Oct 2025,164.90,165.00,161.82,164.40,159.54,1900819
13 Oct 2025,167.80,168.33,164.84,165.19,160.30,1294090
10 Oct 2025,167.67,169.20,167.35,168.34,163.36,1481754
09 Oct 2025,168.77,169.18,167.22,167.31,162.36,2169123
08 Oct 2025,169.25,170.63,169.04,169.42,164.41,1242369
07 Oct 2025,168.82,170.10,167.55,169.34,164.33,1359513
06 Oct 2025,170.94,171.86,169.31,169.96,164.93,793906
03 Oct 2025,168.75,171.00,168.50,170.38,165.34,1492004
02 Oct 2025,167.64,170.95,167.40,169.82,164.80,1995544
01 Oct 2025,166.52,167.84,165.12,167.06,162.12,1720182
30 Sep 2025,167.15,168.23,165.81,166.90,161.96,1882707
29 Sep 2025,165.00,169.38,164.76,168.43,163.45,1809099
26 Sep 2025,164.14,165.21,163.19,164.88,160.00,1546068
25 Sep 2025,163.69,164.88,162.54,163.74,158.90,1607175
24 Sep 2025,165.95,166.80,163.19,164.53,159.66,2009907
23 Sep 2025,166.00,168.68,164.96,166.87,161.93,1375851
22 Sep 2025,166.45,167.40,164.93,165.57,160.67,1272323
19 Sep 2025,166.52,166.95,165.43,166.17,161.25,4607592
18 Sep 2025,167.70,168.35,164.33,164.33,159.47,2379309
17 Sep 2025,168.42,169.16,167.90,168.15,163.18,1613610
16 Sep 2025,169.10,169.13,167.78,168.33,163.35,1390961
15 Sep 2025,168.69,168.98,167.74,168.90,163.90,1867293
12 Sep 2025,167.41,170.00,167.36,169.97,164.94,1236459
11 Sep 2025,168.59,168.59,166.82,167.77,162.81,1257595
10 Sep 2025,167.00,169.17,166.91,168.54,163.55,1448532
09 Sep 2025,168.24,168.24,165.38,166.08,161.17,1967975
08 Sep 2025,168.00,168.24,166.59,168.24,163.26,1221001
05 Sep 2025,169.27,169.60,167.25,168.14,163.17,1407522
04 Sep 2025,166.05,168.21,165.01,168.00,163.03,1657956
03 Sep 2025,169.00,169.28,164.30,164.55,159.68,2536459
02 Sep 2025,168.75,171.70,168.67,170.46,165.42,1294405
01 Sep 2025,170.58,171.59,168.08,168.95,163.95,1183192
29 Aug 2025,172.06,172.78,170.30,170.30,165.26,2230286
28 Aug 2025,170.37,173.35,170.16,173.35,168.22,1558387
27 Aug 2025,170.24,171.49,169.27,169.83,164.81,1134394
26 Aug 2025,170.30,171.76,168.80,169.08,164.08,2527097
25 Aug 2025,173.95,174.10,169.30,170.30,165.26,2121993
22 Aug 2025,173.67,174.50,172.50,172.84,167.73,3023915
21 Aug 2025,174.23,174.40,172.03,173.80,168.66,2274857
20 Aug 2025,169.01,174.14,168.96,172.40,167.30,3195377
19 Aug 2025,171.20,171.83,170.22,171.05,163.47,2161338
18 Aug 2025,168.33,170.31,168.12,170.19,162.64,1664555
15 Aug 2025,166.75,168.73,165.24,168.17,160.71,3133677
14 Aug 2025,167.12,168.97,166.55,167.21,159.80,2943953
13 Aug 2025,176.88,177.70,167.43,169.12,161.62,4412606
12 Aug 2025,178.60,180.00,178.05,178.80,170.87,1888777
11 Aug 2025,177.10,178.60,176.65,178.60,170.68,1129524
08 Aug 2025,176.93,177.98,176.20,176.61,168.78,1239266
07 Aug 2025,179.30,179.54,177.63,178.13,170.23,1188987
06 Aug 2025,177.60,179.86,177.45,179.08,171.14,1244593
05 Aug 2025,175.68,177.63,175.06,177.34,169.48,1356835
04 Aug 2025,174.00,174.93,173.43,174.93,167.17,1178894
01 Aug 2025,176.00,176.86,174.62,175.06,167.30,1725512
31 Jul 2025,177.11,178.19,176.11,177.91,170.02,1918660
30 Jul 2025,173.97,177.60,173.25,176.99,169.14,1817808
29 Jul 2025,173.88,174.64,172.53,174.29,166.56,1313893
28 Jul 2025,172.50,174.90,171.60,174.90,167.15,1249203
25 Jul 2025,173.40,173.61,170.97,172.87,165.21,1626092
24 Jul 2025,173.97,174.74,172.26,173.47,165.78,1622393
23 Jul 2025,172.59,173.85,170.67,173.30,165.62,2172774
22 Jul 2025,177.89,177.99,171.55,172.42,164.78,2384136
21 Jul 2025,181.50,181.60,176.90,177.87,169.98,1341894
18 Jul 2025,180.48,183.47,180.00,182.46,174.37,3632614
17 Jul 2025,178.50,180.80,178.00,180.80,172.78,2856557
16 Jul 2025,178.00,178.80,177.16,177.57,169.70,1592632
15 Jul 2025,179.50,180.40,178.85,179.76,171.79,1012788
14 Jul 2025,179.10,180.32,178.12,178.72,170.80,897592
11 Jul 2025,180.57,180.74,178.41,179.42,171.47,1396922
10 Jul 2025,179.48,181.59,179.00,180.37,172.37,1506974
09 Jul 2025,178.30,180.00,177.03,178.90,170.97,1361633
08 Jul 2025,177.08,179.90,176.84,179.28,171.33,2169151
07 Jul 2025,177.57,179.01,176.98,177.81,169.93,1233379
04 Jul 2025,179.51,180.49,176.44,178.00,170.11,2022811
03 Jul 2025,182.41,182.41,179.58,179.69,171.72,1989031
02 Jul 2025,183.00,183.85,180.51,183.67,175.53,3202955
01 Jul 2025,184.21,184.31,181.40,182.58,174.49,2968299
30 Jun 2025,185.36,186.83,183.41,184.75,176.56,2762322
27 Jun 2025,190.50,191.06,185.36,185.36,177.14,2059721
26 Jun 2025,190.49,191.88,190.26,190.71,182.26,1926397
25 Jun 2025,189.84,192.00,189.02,191.40,182.91,2247175
24 Jun 2025,185.19,188.60,184.95,188.13,179.79,2243842
23 Jun 2025,182.00,184.41,180.83,184.35,176.18,1407371
20 Jun 2025,182.51,183.00,180.13,182.53,174.44,6388012
19 Jun 2025,180.88,183.31,180.16,182.85,174.74,2085226
18 Jun 2025,178.92,181.30,178.30,180.18,172.19,1798143
17 Jun 2025,179.00,179.49,178.02,179.14,171.20,1402425
16 Jun 2025,178.50,179.68,178.23,179.41,171.46,1159837
13 Jun 2025,180.53,181.48,178.82,179.35,171.40,1725793
12 Jun 2025,182.01,182.80,180.53,180.53,172.53,1817457
11 Jun 2025,182.65,183.19,181.11,181.40,173.36,1412451
10 Jun 2025,180.00,182.25,178.55,182.00,173.93,2839373
06 Jun 2025,180.70,181.00,179.00,179.90,171.92,1820710
05 Jun 2025,181.20,182.00,179.61,181.34,173.30,1689652
04 Jun 2025,179.04,181.39,178.30,181.10,173.07,2142069
03 Jun 2025,177.82,178.64,176.72,178.64,170.72,1701236
02 Jun 2025,175.90,176.42,175.20,176.42,168.60,1055676
30 May 2025,174.25,176.46,173.96,175.95,168.15,5011347
29 May 2025,174.49,175.27,172.57,174.44,166.71,1156865
28 May 2025,175.94,176.64,173.79,173.79,166.09,1440731
27 May 2025,174.40,175.50,173.38,175.34,167.57,1236086
26 May 2025,173.50,174.12,172.65,173.88,166.17,765883
23 May 2025,172.72,174.65,172.29,173.84,166.13,1672870
22 May 2025,173.48,173.94,171.98,172.72,165.06,1853995
21 May 2025,173.10,176.46,172.77,174.98,167.22,2582355
20 May 2025,173.00,173.54,171.32,172.43,164.79,1796398
19 May 2025,169.66,171.64,169.49,171.36,163.76,1535720
16 May 2025,172.71,172.92,168.78,169.66,162.14,3762751
15 May 2025,168.97,169.74,166.62,169.74,162.21,2752729
14 May 2025,167.27,167.81,166.35,167.50,160.07,1954555
13 May 2025,167.59,168.00,165.25,166.14,158.77,1415682
12 May 2025,168.30,168.81,166.99,167.18,159.77,1165001
09 May 2025,165.59,167.64,165.09,167.04,159.63,1823621
08 May 2025,164.90,166.00,164.10,165.51,158.17,2728312
07 May 2025,167.10,168.12,165.96,165.96,158.60,3183649
06 May 2025,166.08,167.00,165.65,166.74,159.35,1208101
05 May 2025,169.28,169.49,165.47,166.93,159.53,1826786
02 May 2025,167.63,169.75,167.52,169.66,162.14,2436302
01 May 2025,166.57,168.28,165.94,167.25,159.84,1809325
30 Apr 2025,163.67,166.60,163.25,166.60,159.21,3925047
29 Apr 2025,162.75,163.95,162.47,162.98,155.75,1617274
28 Apr 2025,166.52,166.54,162.50,162.85,155.63,2730886
24 Apr 2025,165.02,165.98,163.40,164.72,157.42,1863637
23 Apr 2025,168.42,168.70,163.77,163.77,156.51,2891637
