Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,31.64,31.87,30.77,30.95,30.80,2934635
29 Dec 2025,31.54,31.57,30.98,31.32,31.02,2941775
24 Dec 2025,31.51,31.67,31.20,31.65,31.35,2150732
23 Dec 2025,30.91,31.92,30.68,31.63,31.33,5097836
22 Dec 2025,29.09,29.31,28.88,29.22,28.94,2211236
19 Dec 2025,29.29,29.35,28.70,28.80,28.53,8680640
18 Dec 2025,28.59,29.00,28.43,28.66,28.39,5655118
17 Dec 2025,29.10,29.58,28.68,28.68,28.41,4597609
16 Dec 2025,29.60,29.74,29.30,29.44,29.16,3728443
15 Dec 2025,29.00,29.70,28.91,29.48,29.20,1888510
12 Dec 2025,29.35,29.58,29.24,29.44,29.16,2950578
11 Dec 2025,29.69,30.08,29.20,29.20,28.92,3293481
10 Dec 2025,29.30,29.65,29.19,29.29,29.01,3503023
09 Dec 2025,29.55,29.97,29.28,29.28,29.00,3535326
08 Dec 2025,29.30,29.81,29.28,29.66,29.38,1745565
05 Dec 2025,29.64,29.67,29.16,29.51,29.23,3067260
04 Dec 2025,29.54,29.81,29.13,29.36,29.08,4094680
03 Dec 2025,29.70,30.50,29.68,30.17,29.88,3516522
02 Dec 2025,29.97,30.17,29.83,29.88,29.60,2860360
01 Dec 2025,29.70,30.35,29.63,29.78,29.50,3441539
28 Nov 2025,29.86,29.95,29.51,29.68,29.40,2686239
27 Nov 2025,29.57,30.17,29.51,29.73,29.45,2246309
26 Nov 2025,29.80,29.89,29.26,29.40,29.12,3072589
25 Nov 2025,29.65,29.65,28.96,29.03,28.76,2818029
24 Nov 2025,29.20,29.37,28.86,29.24,28.96,9108333
21 Nov 2025,28.78,29.60,28.64,28.64,28.37,5525657
20 Nov 2025,29.30,30.43,29.30,29.70,29.42,5552569
19 Nov 2025,29.20,29.65,29.03,29.14,28.86,3245917
18 Nov 2025,30.11,30.26,28.83,28.83,28.56,3394224
17 Nov 2025,29.90,29.92,29.30,29.71,29.43,1989691
14 Nov 2025,29.59,29.64,29.13,29.57,29.29,3191271
13 Nov 2025,30.54,30.60,29.50,29.88,29.60,4836887
12 Nov 2025,30.85,30.86,30.50,30.54,30.25,3046795
11 Nov 2025,30.70,31.16,30.65,30.95,30.66,3942970
10 Nov 2025,30.59,30.67,30.23,30.49,30.20,3564913
07 Nov 2025,30.68,31.21,30.35,30.88,30.59,3517544
06 Nov 2025,31.40,31.53,30.43,30.71,30.42,5874886
05 Nov 2025,31.62,32.35,30.83,31.23,30.93,6508731
04 Nov 2025,33.25,33.33,32.33,32.33,32.02,2482780
03 Nov 2025,32.75,33.16,32.51,32.95,32.64,1965566
31 Oct 2025,33.05,33.49,33.00,33.03,32.72,3936178
30 Oct 2025,32.88,33.27,32.56,33.03,32.72,2130623
29 Oct 2025,33.84,34.08,33.15,33.45,33.13,1911072
28 Oct 2025,34.38,34.49,33.74,33.92,33.60,2392212
27 Oct 2025,34.34,34.78,34.02,34.34,34.02,2668714
24 Oct 2025,34.01,34.20,33.90,34.03,33.71,1186945
23 Oct 2025,33.23,34.06,33.23,33.86,33.54,2119101
22 Oct 2025,33.47,34.25,33.33,33.76,33.44,2637726
21 Oct 2025,33.92,34.27,33.78,34.27,33.95,2386868
20 Oct 2025,34.16,34.31,33.74,33.92,33.60,2069625
17 Oct 2025,34.29,34.31,33.66,33.68,33.36,3028966
16 Oct 2025,33.75,34.50,33.59,34.50,34.17,5235138
15 Oct 2025,33.17,33.39,32.57,32.89,32.58,3481005
14 Oct 2025,33.10,33.20,32.48,32.88,32.57,2290341
13 Oct 2025,32.88,33.26,32.52,33.25,32.94,2413671
10 Oct 2025,33.34,33.49,33.14,33.22,32.91,1987685
09 Oct 2025,33.90,34.05,33.25,33.40,33.08,2147663
08 Oct 2025,33.80,33.87,33.57,33.57,33.25,1925433
07 Oct 2025,33.99,33.99,33.54,33.81,33.49,2197828
06 Oct 2025,34.03,34.18,33.76,33.94,33.62,1180818
03 Oct 2025,33.61,34.26,33.50,34.01,33.69,4007991
