Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,324.81,324.94,322.49,323.42,318.89,7904300
29 Dec 2025,327.00,327.77,323.53,323.75,319.22,8635300
26 Dec 2025,329.11,330.86,326.54,327.91,323.32,4158300
24 Dec 2025,326.24,329.99,325.50,329.17,324.56,4289300
23 Dec 2025,323.61,327.78,323.09,325.93,321.37,6668300
22 Dec 2025,317.51,323.23,317.51,323.09,318.57,8354600
19 Dec 2025,313.79,318.56,313.19,317.21,312.77,24494400
18 Dec 2025,316.00,317.70,312.22,313.00,308.62,11444900
17 Dec 2025,318.43,319.37,314.66,314.98,310.57,8718700
16 Dec 2025,319.09,319.52,314.40,315.55,311.13,8331300
15 Dec 2025,319.59,322.88,318.39,320.02,315.54,10864100
12 Dec 2025,319.68,320.27,316.60,318.52,314.06,8982900
11 Dec 2025,309.24,318.00,309.24,317.38,312.94,9721900
10 Dec 2025,300.50,311.19,298.46,310.11,305.77,18874100
09 Dec 2025,314.95,318.80,300.02,300.51,296.30,18049200
08 Dec 2025,315.06,316.47,313.35,315.21,310.80,7417200
05 Dec 2025,315.64,318.48,314.68,315.04,310.63,6518900
04 Dec 2025,313.26,318.49,313.00,316.10,311.67,9627800
03 Dec 2025,307.20,312.36,306.80,312.13,307.76,8535300
02 Dec 2025,308.74,310.48,307.09,307.88,303.57,7249000
01 Dec 2025,312.95,314.04,308.54,308.92,304.59,7727300
28 Nov 2025,309.10,313.72,308.24,313.08,308.70,4322400
26 Nov 2025,305.00,308.53,303.20,307.64,303.33,7910900
25 Nov 2025,300.05,304.50,295.56,303.00,298.76,8877200
24 Nov 2025,298.24,299.82,294.51,298.00,293.83,10940200
21 Nov 2025,301.29,301.68,292.81,298.02,293.85,11766800
20 Nov 2025,306.34,309.92,298.16,298.38,294.20,7501600
19 Nov 2025,299.74,304.45,299.27,303.27,299.02,5546600
18 Nov 2025,299.50,302.95,297.02,299.41,295.22,8077300
17 Nov 2025,304.00,305.59,297.67,300.37,296.16,8344000
14 Nov 2025,307.51,307.64,301.23,303.61,299.36,10327000
13 Nov 2025,319.23,320.63,309.10,309.48,305.15,8973300
12 Nov 2025,316.26,322.25,316.21,320.41,315.92,10578300
11 Nov 2025,317.50,319.05,315.28,315.62,311.20,5030200
