Date,Open,High,Low,Close,Adj Close,Volume
30 Dec 2025,188.24,188.99,186.93,187.54,187.31,97687300
29 Dec 2025,187.71,188.76,185.91,188.22,187.99,120006100
26 Dec 2025,189.92,192.69,188.00,190.53,190.30,139740300
24 Dec 2025,187.94,188.91,186.59,188.61,188.38,65528500
23 Dec 2025,182.97,189.33,182.90,189.21,188.98,174873600
22 Dec 2025,183.92,184.16,182.35,183.69,183.47,129064400
19 Dec 2025,176.67,181.45,176.34,180.99,180.77,324925900
18 Dec 2025,174.53,176.15,171.82,174.14,173.93,176096000
17 Dec 2025,176.10,176.13,170.31,170.94,170.73,222775500
16 Dec 2025,176.26,178.49,174.90,177.72,177.50,148588100
15 Dec 2025,177.94,178.42,175.03,176.29,176.08,164775600
12 Dec 2025,181.11,182.82,174.62,175.02,174.81,204274900
11 Dec 2025,180.28,181.32,176.62,180.93,180.71,182136600
10 Dec 2025,184.97,185.48,182.04,183.78,183.56,162785400
09 Dec 2025,185.56,185.72,183.32,184.97,184.74,144719700
08 Dec 2025,182.64,188.00,182.40,185.55,185.32,204378100
05 Dec 2025,183.89,184.66,180.91,182.41,182.19,143971100
04 Dec 2025,181.62,184.52,179.96,183.38,183.16,167364900
03 Dec 2025,181.08,182.45,179.11,179.59,179.36,165138000
02 Dec 2025,181.76,185.66,180.00,181.46,181.23,182632200
01 Dec 2025,174.76,180.30,173.68,179.92,179.69,188131000
28 Nov 2025,179.01,179.29,176.50,177.00,176.77,121332800
26 Nov 2025,181.63,182.91,178.24,180.26,180.03,183852000
25 Nov 2025,174.91,178.16,169.55,177.82,177.59,320600300
24 Nov 2025,179.49,183.50,176.48,182.55,182.32,256618300
21 Nov 2025,181.24,184.56,172.93,178.88,178.65,346926200
20 Nov 2025,195.95,196.00,179.85,180.64,180.41,343504800
19 Nov 2025,184.79,187.86,182.83,186.52,186.28,247246400
18 Nov 2025,183.38,184.80,179.65,181.36,181.13,213598900
17 Nov 2025,185.97,189.00,184.32,186.60,186.36,173628900
14 Nov 2025,182.86,191.01,180.58,190.17,189.93,186591900
13 Nov 2025,191.05,191.44,183.85,186.86,186.62,207423100
12 Nov 2025,195.72,195.89,191.13,193.80,193.55,154935300
11 Nov 2025,195.16,195.42,191.30,193.16,192.91,176483300
10 Nov 2025,195.11,199.94,193.79,199.05,198.80,198897100
07 Nov 2025,184.90,188.32,178.91,188.15,187.91,264942300
06 Nov 2025,196.42,197.62,186.38,188.08,187.84,223029800
05 Nov 2025,198.77,202.92,194.65,195.21,194.96,171350300
04 Nov 2025,203.00,203.97,197.93,198.69,198.44,188919300
03 Nov 2025,208.08,211.34,205.56,206.88,206.62,180267300
31 Oct 2025,206.45,207.97,202.07,202.49,202.23,179802200
30 Oct 2025,205.15,206.16,201.41,202.89,202.63,178864400
29 Oct 2025,207.98,212.19,204.78,207.04,206.78,308829600
28 Oct 2025,193.05,203.15,191.91,201.03,200.77,297986200
27 Oct 2025,189.99,192.00,188.43,191.49,191.25,153452700
24 Oct 2025,183.84,187.47,183.50,186.26,186.02,131296700
23 Oct 2025,180.42,183.03,179.79,182.16,181.93,111363700
22 Oct 2025,181.14,183.44,176.76,180.28,180.05,162249600
21 Oct 2025,182.79,182.79,179.80,181.16,180.93,124240200
20 Oct 2025,183.13,185.20,181.73,182.64,182.41,128544700
17 Oct 2025,180.18,184.10,179.75,183.22,182.99,173135200
16 Oct 2025,182.23,183.28,179.77,181.81,181.58,179723300
15 Oct 2025,184.80,184.87,177.29,179.83,179.60,214450500
14 Oct 2025,184.77,184.80,179.70,180.03,179.80,205641400
13 Oct 2025,187.97,190.11,185.96,188.32,188.08,153482800
10 Oct 2025,193.51,195.62,182.05,183.16,182.93,268774400
09 Oct 2025,192.23,195.30,191.06,192.57,192.32,182997200
08 Oct 2025,186.57,189.60,186.54,189.11,188.87,130168900
07 Oct 2025,186.23,189.06,184.00,185.04,184.80,140088000
